fips,name,random1,random2,random3
"01001","Autauga",291745,36371,64
"01003","Baldwin",199099,57192,53135
"01005","Barbour",369457,37559,62393
"01007","Bibb",110302,85454,57739
"01009","Blount",58535,24915,22278
"01011","Bullock",760359,35116,30368
"01013","Butler",266539,54928,48064
"01015","Calhoun",689951,91180,15851
"01017","Chambers",100266,66535,34751
"01019","Cherokee",236802,15001,5104
"01021","Chilton",990838,51710,26668
"01023","Choctaw",748257,94308,58341
"01025","Clarke",788776,17286,67050
"01027","Clay",877927,5779,30269
"01029","Cleburne",654157,37884,47396
"01031","Coffee",593321,79995,17888
"01033","Colbert",691543,64902,33625
"01035","Conecuh",903809,93211,48290
"01037","Coosa",364515,86208,53021
"01039","Covington",156329,78862,75935
"01041","Crenshaw",360514,26078,23008
"01043","Cullman",638624,51103,16165
"01045","Dale",235146,87856,36389
"01047","Dallas",234561,1645,86705
"01049","DeKalb",151696,58446,14044
"01051","Elmore",55684,85964,56058
"01053","Escambia",289625,95692,26700
"01055","Etowah",372352,78470,13680
"01057","Fayette",86405,96776,41307
"01059","Franklin",764637,20450,59792
"01061","Geneva",972530,5364,21018
"01063","Greene",657890,60999,52395
"01065","Hale",75457,252,49691
"01067","Henry",358771,60406,87600
"01069","Houston",309012,47479,59474
"01071","Jackson",678733,75129,27798
"01073","Jefferson",472531,71486,56528
"01075","Lamar",568872,20692,49942
"01077","Lauderdale",24417,86611,23999
"01079","Lawrence",197748,21192,98972
"01081","Lee",224781,37995,85580
"01083","Limestone",307712,42393,87374
"01085","Lowndes",187927,30517,38194
"01087","Macon",634675,11106,26426
"01089","Madison",849098,11145,83190
"01091","Marengo",744490,6763,7085
"01093","Marion",988303,2845,81357
"01095","Marshall",210382,97715,955
"01097","Mobile",469541,16744,41580
"01099","Monroe",331368,94998,13623
"01101","Montgomery",64389,44844,9596
"01103","Morgan",702176,90781,63146
"01105","Perry",102199,95164,68985
"01107","Pickens",376014,51735,16432
"01109","Pike",740828,26209,41797
"01111","Randolph",334570,19775,22003
"01113","Russell",273005,40537,53369
"01115","St. Clair",358367,50974,46711
"01117","Shelby",791423,73918,16404
"01119","Sumter",112186,87859,68671
"01121","Talladega",551511,71426,19075
"01123","Tallapoosa",878958,46208,31343
"01125","Tuscaloosa",359932,19509,84251
"01127","Walker",155851,2703,81781
"01129","Washington",884022,31017,27177
"01131","Wilcox",807706,65107,6272
"01133","Winston",130678,74840,52648
"04001","Apache",63672,77368,28043
"04003","Cochise",93740,31193,68776
"04005","Coconino",766256,77389,62467
"04007","Gila",254279,12833,8079
"04009","Graham",718958,75425,89976
"04011","Greenlee",335947,66297,66998
"04012","La Paz",328508,58392,36867
"04013","Maricopa",121263,75266,97376
"04015","Mohave",300887,79245,43670
"04017","Navajo",71783,91725,26172
"04019","Pima",496997,45346,21559
"04021","Pinal",690614,92904,86174
"04023","Santa Cruz",18969,3712,50795
"04025","Yavapai",800745,15672,20538
"04027","Yuma",904106,71679,93388
"05001","Arkansas",621750,11418,45523
"05003","Ashley",315485,35741,81947
"05005","Baxter",994597,42153,48456
"05007","Benton",489040,82177,3730
"05009","Boone",110402,4812,80217
"05011","Bradley",984324,35255,99212
"05013","Calhoun",444057,1105,11799
"05015","Carroll",624203,79359,92100
"05017","Chicot",516428,95624,92512
"05019","Clark",605154,41975,14410
"05021","Clay",707320,19589,8368
"05023","Cleburne",509937,85045,29269
"05025","Cleveland",315421,24948,97154
"05027","Columbia",900109,59976,48439
"05029","Conway",708223,43179,42287
"05031","Craighead",204919,46054,85094
"05033","Crawford",911422,10691,48296
"05035","Crittenden",314150,24774,44243
"05037","Cross",857878,71283,64677
"05039","Dallas",681694,38854,2016
"05041","Desha",898680,94615,94825
"05043","Drew",309175,13536,12893
"05045","Faulkner",285732,16305,42236
"05047","Franklin",727148,56145,16872
"05049","Fulton",297077,90840,91365
"05051","Garland",138049,71000,7012
"05053","Grant",189951,1390,84560
"05055","Greene",164005,55451,30702
"05057","Hempstead",303153,31598,24709
"05059","Hot Spring",328696,49891,10388
"05061","Howard",181334,93958,11083
"05063","Independence",788871,13993,11317
"05065","Izard",674667,94741,18608
"05067","Jackson",416178,69590,23566
"05069","Jefferson",248907,76421,37286
"05071","Johnson",890674,30442,74603
"05073","Lafayette",602395,23678,18206
"05075","Lawrence",7913,80353,52244
"05077","Lee",972602,62805,25732
"05079","Lincoln",106117,32251,61387
"05081","Little River",321857,35265,42054
"05083","Logan",191014,22417,31235
"05085","Lonoke",900212,84044,99847
"05087","Madison",242131,91566,21932
"05089","Marion",501997,97361,82283
"05091","Miller",478291,72734,13879
"05093","Mississippi",476223,26628,71635
"05095","Monroe",755506,93610,2681
"05097","Montgomery",26922,95575,36892
"05099","Nevada",939384,97617,78866
"05101","Newton",476209,3327,9502
"05103","Ouachita",696679,22345,20534
"05105","Perry",255069,22439,87922
"05107","Phillips",283379,77261,58046
"05109","Pike",777470,72111,83091
"05111","Poinsett",911061,39116,30964
"05113","Polk",135393,13606,66879
"05115","Pope",55080,92774,48242
"05117","Prairie",292769,55250,71661
"05119","Pulaski",210934,25781,33523
"05121","Randolph",285081,11701,31884
"05123","St. Francis",508669,86936,65454
"05125","Saline",454180,38859,51314
"05127","Scott",857000,96000,6505
"05129","Searcy",292352,45918,90864
"05131","Sebastian",607439,51557,11396
"05133","Sevier",20534,60561,17738
"05135","Sharp",870060,43973,67809
"05137","Stone",946416,98234,49578
"05139","Union",327030,19887,75258
"05141","Van Buren",674536,65994,65811
"05143","Washington",253747,26907,5885
"05145","White",244744,50628,66838
"05147","Woodruff",306473,11960,46026
"05149","Yell",68074,68183,56828
"06001","Alameda",643756,47100,44489
"06003","Alpine",347010,69634,35795
"06005","Amador",205604,80336,63959
"06007","Butte",167275,82528,37787
"06009","Calaveras",165090,59372,16585
"06011","Colusa",546597,52039,28958
"06013","Contra Costa",66142,58798,71767
"06015","Del Norte",429316,7824,5411
"06017","El Dorado",517671,11616,61071
"06019","Fresno",261892,59026,35858
"06021","Glenn",125044,81586,95503
"06023","Humboldt",578589,33213,58980
"06025","Imperial",918626,80537,95397
"06027","Inyo",590670,24882,79871
"06029","Kern",346275,40014,71917
"06031","Kings",644216,80296,55768
"06033","Lake",764596,27917,8879
"06035","Lassen",967208,73407,71851
"06037","Los Angeles",46581,64469,29707
"06039","Madera",361440,50922,7843
"06041","Marin",13175,68572,52561
"06043","Mariposa",718554,32009,88128
"06045","Mendocino",118094,61752,34093
"06047","Merced",241368,92326,93177
"06049","Modoc",38376,87764,3735
"06051","Mono",149749,2060,44748
"06053","Monterey",465574,82191,2967
"06055","Napa",679422,85070,6669
"06057","Nevada",882207,64429,99817
"06059","Orange",311016,76044,42944
"06061","Placer",780267,10080,79161
"06063","Plumas",252215,27042,24065
"06065","Riverside",710241,85333,91914
"06067","Sacramento",952276,10218,50679
"06069","San Benito",904895,86928,65062
"06071","San Bernardino",95858,48094,74805
"06073","San Diego",868195,52957,85945
"06075","San Francisco",653525,7080,25482
"06077","San Joaquin",134053,77777,77737
"06079","San Luis Obispo",102104,49861,69670
"06081","San Mateo",785663,90569,41308
"06083","Santa Barbara",562218,84926,31590
"06085","Santa Clara",557617,34288,42353
"06087","Santa Cruz",794334,51077,72131
"06089","Shasta",227197,21045,36309
"06091","Sierra",234750,43145,56171
"06093","Siskiyou",104719,5248,98537
"06095","Solano",705049,58543,56959
"06097","Sonoma",314950,38880,5877
"06099","Stanislaus",140909,61166,57393
"06101","Sutter",756453,58063,74771
"06103","Tehama",308729,89210,74449
"06105","Trinity",265647,73013,43147
"06107","Tulare",40640,24378,62426
"06109","Tuolumne",707147,23604,63053
"06111","Ventura",465752,30897,33561
"06113","Yolo",170863,21075,80397
"06115","Yuba",44054,45730,35620
"08001","Adams",220168,49606,61513
"08003","Alamosa",686750,46218,36911
"08005","Arapahoe",755784,72219,91284
"08007","Archuleta",962048,95595,44007
"08009","Baca",57494,27161,43645
"08011","Bent",677031,38106,60976
"08013","Boulder",858290,36227,39149
"08015","Chaffee",955481,4155,88565
"08017","Cheyenne",707802,259,82009
"08019","Clear Creek",456245,33727,87128
"08021","Conejos",233863,52371,62573
"08023","Costilla",828161,64240,87191
"08025","Crowley",60419,95426,34320
"08027","Custer",523552,51065,50256
"08029","Delta",707709,17941,88988
"08031","Denver",782587,15590,59684
"08033","Dolores",422783,79790,6373
"08035","Douglas",189427,68773,99505
"08037","Eagle",672353,30941,9202
"08039","Elbert",920473,88602,2502
"08041","El Paso",251294,7144,49023
"08043","Fremont",815685,58458,77780
"08045","Garfield",359332,41208,11081
"08047","Gilpin",817824,79834,89440
"08049","Grand",320012,2124,64790
"08051","Gunnison",95033,67637,58162
"08053","Hinsdale",564590,96805,32474
"08055","Huerfano",182905,95729,90691
"08057","Jackson",450564,35174,32143
"08059","Jefferson",388931,50284,97631
"08061","Kiowa",736793,44352,94659
"08063","Kit Carson",46812,3516,46969
"08065","Lake",277641,91274,45063
